nyc prduct useful product
one best purchases 2017
good
nice product good fitness freak worth money
really nice watch
good
worst productnot value money price brand nothing else get feature watches cost 715k
received watch nonworking charger ask friend loaner charger need go service centre assistance
flipkar service like hell delivered 10 days promised fk dose take initiative sort problem self called go took delivery hub best never pre payment
best watch
paid extra money priority delivery received lately missed timing present gift
good
nice masterpiece made apple
mild blowing go fitness tracker keeps going makes feel healthy apple wrist way keep doctor away
delivered time promised flipkart since many bad news order something get brick something else made video unboxing wanted thanks flipkart thatnow regarding product thing im disappointed doesnt ceramic back instead composite back rest works like aplle watch watchos4 awesome
pathetic customer care tr voucher form one anager asking wait another day againwere ready inform ready loss 4000 people also ready understand problem ready solve problem mine please suggest dealing kind company
one month quite impressive delievry awesome
plzzz permission returnbecause daddy also purchased watch white color soplzzz u give permissionss request
fantastic looks stunning performs well fitness tracking notifications used talk works really well toobattery life poor forget carry charger forget watch
great smart watch price bracket dont money problem go series 4 suggestion
awesome loving product premium apple product regret instead become part daily life
great productthey would kept charging cable wellnow got bendnever mindperfect packingtimely deliverygood behaviour delivery boy
total wastage money
worth buying got rs 20k 100 genuine non activated pls note warranty starts date activation date purchase chk apple coverage site awesome experience shopping flipkart
really nice productgood quality
excellent
excellent product apple got 26k best deal think
apple watch series 3 genuine product
worst purchase ever never buy big billion day people got faulty device
amazing watch really made life easyspecially amount details provides amazingcalls messages whatsapp jiosaavn spotify number fitness apps e mailand best u ever reply devicein short must device apple device5 star rating
best smart watch got 17kgo 42mm
genuine product super service
good product
product good delivery guy pathetic tone service way talking arrogant name sidhu chalwad pune doesnt deserve flipkart elart bad experience guy
awesome delivery flipkart bigbillon day nxt day delivery watch also nice got in15000
unbelievable
getting charged working properly
amazing product amazing discount
thx big billion 14000 got finally
suggesting body purchase u option return replacement flipcart make u foll specially product
loved got whooping price 16999 plus discount credit card bb days flipkart happy watch iphone must experience apple watch makes daily life easy motivates stay fit
absolutley love apple watch definitely one best technology purchases
worth buy save lots ur time
awasome watch
gifted friend loves
product good size slightly small es expected
good
overall nice product somewhere found little bit lagging
battery discharged day
product good comfortable light weight apple good product
poor packing flipkart high chances getting product damaged transitabout apple watchif fitness focussed iphone ios 11 watch cool gadget haveyou also monitor sleep installing sleep watch appgives reminder breath stand sitting long timeall notifications iphone seen instantly watchcall attend phone bluetooth rangecan send messages cread
use apple watch fall love like meh
super good
genuinehappy best deal n product
amazing watchquick deliverypackaging goodgreat discount flipkart
love watch series 4 5 simply enough dont need latest versions waste money
apple rocks always flipkart deals also
genuine product case manufacturing defect flipkart doesnt replace apple percentage receiving defective product low though misfortune favours none help
best productdelivery slightly fast love
nice watch
awesomenever expected great battery life awesome design completely satisfied owned gen 4 fossil poor battery life watch completely great 2 days battery life superb design downside display glass scratches soon 3 days usage
awesome product delivered tymoverall performance quite nice
watch calling facility plus delivery good overall happy performance although product priced surely caters needs smartwatch brand apple plus
wow
amazing product apple watch useful like check notifications reply receive call make easily lot things watch u r apple lover dont wait go n get bite
best price good product
exclusively apple lovers
loved watch features satisfied build quality satisfied logic behind charging dock mean using iphone must charging dock easy change charging cable please give charging dock watch onwards hope complain reached apple india
nice
asm product
exceptional product wonderful service flipkart
try bigger one look small hand product good n looks good 38 mm looks small ur hand ill suggest go bigger option
loving every second owning watch definitely made active
words amazing flipkart packing good charging adapter included packet dont know happen watch mobile hard handle fast delivery
worst scenario got empty packageeven several complaints flipkart giving responcesurely visiting consumer court
damaged product found
value money
original good
amazing one
superb feel wow experiencebecause using series 1 s3 super fast amazing features thanks apple flipkart
amazing product
apdator chargingonly data cable apple company charging kase kare
superb watch
good
awesome watch amazed spent 22k adapter box flipkart sell adapter separately fool customers apple clarify none watch comes without power adapter
works like charm delivery faster expected
fast delivery flipkart
value money sach 2 days battery life
nice watch
awesome product great time delivery flipcarta beautiful watch awesome features tracking health updated life
dont want spend lot money buy
apple class technology assurance
flipkart best offering incentives bought watch 25k nd really classy
awesome watch excellent build speed
superb product apple bette brands used fitbit garmin samsung gear past nothing come close apple watch draw back need iphone use anyways worth money
happy
satisfied
got great discount 8000no android watch better
best smartwatch market dont think twice
nice gadget delivered time good condition
call phone notification shows call function available
love itbattery backup 3 days average useand 2 days heavy use
great awesome
superb product
excellent
nice product worth buy
great product thanks flipkart
always great product apple masterclass everything design hardware simply beast good delivery expected flipkart
nice
good
happy first apple watch love really useful packing good flipkart though order got delayed 1 day expected date thats ok long got apple watch package good condition
received package missing item
received product simply nicewe happy
love product thanks flipkart wonderful offer got 18000
best watch segment coolest part got great deal faster delivery within 24 hours thats impressive flipkart anyone wanting watch go trust impressed regret
best purchase life
actually thing cant pair apple watch series 3 old version im ios like 1098 soo loved stay version go series 2 series 3 requires ios 11 soo hard one like unlikely updated version phone love saty ios 10 cant
superb
amezing watchwo
fantastic ultra premium watch happysize buy 42mm model oanly buying adultfor kids upto 12 years age may chose 38mm model 38 mm model much tiny doesnt give impression premium apple watch wrist however technical specifications sizessizes measured diagonally size watch case strap lengthbattery battery backup better 42mm model compared 38mm model lasts read
good watch good smartwatch limit works ios good samsung gear s3 works ios android also much cheaper honest opinion watch 4 star smartwatch 2 star
didnt get usb power adapter apple watch
nice watchi love applegenuine qualityseller best go
superb masterpiece money buy apple best loved followed excellent service flipkart
good companion iphone handsup flipkart delivery
apple words
happy first smart watch great featutres must watch fitness freaks course extra money
best product good delivery
excellent
watch really good doubt feels premium wrist band extremely comfortablehowever watch band grey black compare wifes 38mm series 3take look
wow thanks flipkartvery nice productyou must buy
super fast delivery product awesome thanks amazon
faster series 1 brighter
received watch around 10 days backwatch good worth rs 29ki already 1 tissot watch bought 30k looks premium apple watch watch doesnt new featuresmy iphone already functionsnow using checking time hahaha
worth 32000 rs
nice apple watch 3
happyim first time user apple watchhealth related im happy like heart sensorbreath sensorworkouts etchow many calories burn via walking swimming standing running etc oncal notificationscall speaker sound goodwatch faces good38mm small fine next time go 42mm
nice product
fantastic worth money love thx steve job
packing good
awesome watch 25 k one thing watch works iphone watch got bigger display compare another smart watches
nice
good one
working iphone 6 6s model good one
proper product nice delivery time thanks flipkart
good
nice watch
worthy purchase even nov2019 especially price 16499
amazing product
nice product
great
amazing product bye apple thank flipkart
amazing product good battery life smooth running
awesome watch thanks flipkart
tamper glass missing box
nice like
wont regret buying
super
asm product
awesome product
good n accurate information
nice
nice watch
working 1 month purchaseshowing apple logo time tried hard reset usethank flipkart
thank
good
watch good even series 3 still best buy year 2019 20 price point recommend everyone go watch instead series 5
good original product
ok
using watch past 25 months faced issues happy
really nice
good itm good price
dull serives
best ever watch collection
bought somewhere around 15999 watch awesome
awesome apple products price absolutely amazingbought 15999
best quality awesome watch
words awsomebut battery backup patheticatmost 10 hours
one best
amazing fitness tracker
best
awesome product loved flip kart sale price
nyc
nice product elegant look
u r firstime user go version basically notification devicecalls answered gps version u make call well u phone connected bluetooth range u watch faces basic one older one new face numerical one different texture roman numberactivity tracker best ever used ways september downing price series 5 wait u dont like spend much moneyread
love apple watchtoo fast delivery good quality got grt offer
thankzz
well already know credibility product flipkart done flashing great value deal topped exemplary delivery promptness good show team flipkart
adapter given charging cable
go
loved
awesome
awsome product
ok
awesome deal
absolutely fabulous
got watch 13500 big billion sales axis cashback offerunder range one best watch purchase specially display quality awesome
nice product worth buy
excelent
amezing watch
nice product
best watch like
best quality
awesome product
superbbb
watch nice delivery 10 days
awesome
awesome guys really good
absolutely satisfaction
charging cable mising
bad
nice
awesome
nice
supar
nice
apple watch good performance credibility one among best smart watch buy right better graphics advanced sensors great design application support
excellent buy upgrade series 2 lasted 2 odd years display issues got used get another one looked series 4 5 frankly didnt see much value add eyes set series 3 retailed around 2829kbought big billion day sale around 18k btw steal much difference series 3 series 5amazing delivery experience flipkart got 23 days brand new sepread
really amazing love
nice
good buy
love
great love design looks classy features great except im quite sure monitors sleep cycle unlike previous smart watch feature monitor deep sleep disturb sleep cycle doubt apple feature still exploring watch far good
inaccurate readings bad local chinese products counts car movement exercise hours count stand hours accurately readings r par lenovo products expensive inaccurate item
good
good quillety
awesome superb
nice
good one
superb
excellent watch
best deal apple watch really superb
apple watch series 3 one best watch bought till dategot great deal thoughit works apple iphonesso iphone surely go iteverything done directly watch onlyno need take phone pocketit built speakers call talk directly itcharging time battery back really good
nice product good delivery boy
suprb watch
nothing say apple u thinkking buy buy
awesome watchpremium feel
good
thanks flipkart best price
perfect buy really awesome
really nice product
excellent product apple delivery time flipkart
genuine product
good product
good
nice product best price
awesome
happpy
fulfilled committed works perfectly siri awesomeits helpful handsfree activities
good product timely delivered
nice watch
good looking watch best apps battery life good
best buy best save shopping history
please dont purchase product refurmished
genuine productdelivery commitment
amazing
good watch check size placing order suggest 42mm version 38mm little bit small men boys
apple bestno brand watch like everything perfect im iti happy watch
good one
smart buy
perfectly supposed perfect everyday use
value money
good
essential product fancy feature still get complete apple collection
perfect
nice watch facility including calling functions problem battery backup one day otherwise dream purchase
thanks
awesome watch
elegant stylish class never goes style
awesome
apple product never go wrong
nice
comes apple iwatch nothing think always best among apple products always worthy
perfect
easy use music call receive function without touch ur phone amazing
must
excellent
simply awesome
upgraded series 1 happy performance got 18k
good product
superb
nice one product
small display return exchange policy retaileruseless
good
great service flipkrt byt waste miney product
excellent watch timely delivery worth price
awesome
complete package without glitchesif iphone must buyand flipkart seller proved trustworthy terms product genuineness quality
month amazing piece tech put place together
small hole body watch
watch awesomebut packing high value item mark
amazing performance fast delivery
good product apple apple
super
osm watch
battery backup less 2days almost features get mi band cost 2k
slow getting hang
value money
good
marvelous piece hardware software pretty beautiful useful im lovin
timely delivery got good price
nice
always bestno compromise qualityapple lovenb product comes without charging adapter wireless charging cable available use iphone adapter charging
luv watch thanks flipkart giving good discount delivery time
nice one
quality nice
good problem battery runs quick
good
good product
bad experience shopping flipkart
awesome product really liked performance
nice watch everyone buy
got good deal apple brand easy wear recomend everybody one
awesome
superb product want use old models iphone u update iphone 1243 update 2 gb update apple watch app
fast delivery excellent performance apple watch
gifted loved one happy nice product
super
best smart watch amazingly correct readings heart rate fitness activities quick delivery flipkart
product recieved genuine loved
great product
nice one
good
good
flipkart experience goodapple watch experience good one month usage listing experience fitbit user three years charge hr ionic used allapple watch experience1it doesnt irritating green light always2 needs 30 minutes continuous exercise close exercise ring3 messages emails calls whats app synced beautifully iphone 7 lags4 heart rate measurement good5 placed screen guard read
truly amazing genuine thank u flipkart best deal
worth buy loving
good
thanks flipkart excellent productdeliver time
fantastic watch
watch amazing accurate data biggest plus point decent battery life almost 2 days half hour charge tried galaxy fit 2 pro honor watch noone matches class data accuracy
worth money
wat awesome product features wat expectedapple watch rocks
best watch student affordable price iphone blindly get apple watch budget get series 5 youre broke student like get series 3 already apple watch dont get series 3 save get series 4 5
amazing
best smartwatch one could ever using 3 months simply amazing thing disappointing price got 26k festival offers 17k wait proper price buying
impressive watch
good product
unbelievable
nice product battery backup like 2 days 20 hours standby usage time 9 hours 30 minutesthanks flipkart nice product
nice orginal need worry
watch good
awesome
liked
ultimate watch
loved
watch ok good
awesome
wonderful feeling happy
simply great
charging wire working didnt get charging plug well buy apple store give charging plugso big disappointment buy flipkart
awesome product apple
nice product 100 original items
product received time got authentic product 38mm dial small go 42mm boy age 20 years old 38mm mainly suit girls mans go apple store check fit watches 38mm 42mm according buy got watch 16500 38mm supercomnet delivery time 2 days fully authentic checked online apple website recommend everyone check watch authenticity online official apple website read
thank flipkart delivering watch earlylove product nice shopping experience
nice watch
words apple brandbut 38 mm size small
apple always premium best enigmatic touch fast response get nrc membership alongwith tracking real accurate
quality good
nice product
super watch excellent
good one
super
first got unbelievable price 18000 big billion day sale name enough worth price also looks like product 2generations ahead still far better new model smart watches great purchase diwali time thanks apple flipkart joint venture
many features watch rang price
best fitness trackerseamlessly connects iphone problem operatingbattery really goodonly problem got 8 gb model usable memory 5 gb lot less due syncing messages etc
satisfied
good
awesome product battery little
product good
excellent watch must buy apple lovers
good productbettery back low
good product
size small replacement item watch good
best performance ever best product life
nice
awesome
awesome watch loving come early good service seller original product
got reasonable price thanks flipkart made diwali awesome
activity tracking properly
good product
awesome watch thanks flipkart big billion day
time leave series 3 latest software update takes 3 4 minutes watch completely working
good product
watch band fits properly
best ever
wanted buy apple watch long time new price offer decided buy great deal delivery flipkart good product everyone knows
product awesome ofcourse costly apple product discount rate purchased 16250 rupees spend worthy product
worth
brand new original apple watch received timegreat productgreat pricegreat service
lovely best quality watch awesome
awesome
watch amazing good use comfortable good build quality charging time slow negative watch
simply awesome
good product
fast delivery 1 day 100 authorised apple productits stylish feel like premium wristit worth price launching series 5 think series 3 also good comes budget also
original product
watch good
nice product
good quality
perfect else could said
watch awesome flipkart packing cheap never expected
superb
one word answer ie beast iphonebattery life improved till series 5
brand newand excellent purchase flipkart
really awesome
nice productflipkart look delivery time
truble synchronising
dial looks smaller size 42mmpackaging goodoverall worth buy
awesome words explain
amazingly good smartwatch apple always best innovation technology
nice
amazing product
good see hand
good service good apple watch full satisfies
satisfied looks great
nice product
wow product
good
good product
product awesome
good product
beautiful exactly shown best part got delivered time made delighted
excellent delivery quick product looks good
nice watch
awesom product worth buying handy enough work watch without using phone
satisfactory screen kinda weird though lacks innovation job well also get bumper case scratches easily
one best deal big billion day
got genuine product 1 year warranty love
great
good product
good value money
must go battery backup good look awesome wrist
affordable price buy expensive apple watch
loving
awesome watch really loved
nice product
loved way delivery protected well received fastly thank u teamflipkart would love order
best smartwatch far affordable price
awesome
superb
good performance easy access
words one awesome
best watch
great price great quality love u aoole
super watch issues far speedy perfect apple ecosystem used samsung watch wear os watch one us super battery life watch goes almost 2 days 30 battery left
super
loved
time time delivery watch
expect apple product
great
nice product better go 42mm
good
expected apple nice product using last month satisfied watch loved thanks flipkart
awsome apple worth fir product
good
really fast delivery 16hrs
niceeee
worth discounted price
excellent watch meets expectations delivery also good
feeling wow
charging watch getting heated worrying issue
awesome
much good
awesome purchase best smart watch available
excellent product provided return policy apple product
strap got white insted grey
thank much flipkartmy order request follow
awesome product gr8 price
nice nd good looking
good delivery best product wondering without chrger mgntic cable
superb
amazing watch gps precise pairing phone seamless
ok
nice watch
nice one
loved
great watch 16000
good deal
awesome smart match must buy productit tracks heartbeat perfectly calling option connected iphone amazingbattery backup one month usage average one half day good frankoverall experience iwatch awesome
excellent worth spending money purchasing product
impressiveits ok
looks premium classy loved
nice
super fast delivery although kept getting messages delivered nov 4th got 2 days nice packaging pretty happy product delivery
must feature connect android however attractive watch got great discount
product orginal small problem watch starting slow watch super
good product
good product
nice watch must buy
great product awesome
great
nice
awesome
awesome experience smarty
excellent
must buy
awesome
superrrr
nice product totally genuine
ok
amazing fall love firs glance truly love first sight apple amazing incredible flipkart discount fast delivery got delivered one day europe trip much happy guys go itclasssss
loved
using say amazing must love see performed
value money
rich prople watch
perfect one apple lovers watch fantastic seems accurate watch faces time weather info battery life almost day need charge daily iphone giant 38 mm ok dont like big dial watches ppl prominent wrist bones go 40mm size biggest pro display oled truetone bright crisp never go lcd lowresolution display colours weak looks dull donread
good
nice watch
good
great feeling wearing smart watch thanks flipkart one day delivered committed
best watch worth buy
best smart watch ever cost activity buy fantastic try apple premium
nice
smooth clean interface good quality
5 start product deliver give 2 stars took long time product ship warehouse
awesome keeps phone pants calls via watch crisp superbbattery awesome beyond expectation u almost everything phone watch love call option
gud
apple apple
great product
value money must go
awesome product
good
great products prices
awesome
best price
best smart watch ever amazedthanx flipkart
worst watch
extra benifits apple love supebr bettry life exllent product
awesome watch love
good nice love
prompt delivery original product loving
love
good looking wow
ok
complete value money feels premium wrist encouraging complete daily workout goals
nice one
excellent watch
worth every penny apple watch wow iphone look first accessory need genuine product flipkart happy
buy 16000 super watch change ur life style iphone needed iphone use super smart watch
owsm product love
good product amazing price big billion sale must gadget freak call quality extremely impressive
authentic product received afraid reading reviews last recieved original good apple watch
exlnt
charger working
love
nice product excellent delivery
osm product buy
small size fitting 42mm watch
happy
good
excellent product
superb getting product best buy
nice
probably best smart watch easily best smart watch iphone
preety amazing one best smart watch market
loved
nyc watch
amazing
apple always applegreat watch works iphones
excellent product waited right time buy love watch
must buy item happy
excellent watch excellent price backed great delivery tat
great
two words 5 stars
awesome september date manufacturing prompt delivery
nice product 15 k love nice fitness tracking
battery drops 98 85 time appr 1 hr rock end day 5565 days connects iphone xr like gem rarely use phone working hours must buy u always tied ur workplace quick glance important stuff
literally amazing
nice original product
amazing watcham short wordswhosoever looking beauty go ahead instincts
nice product iphone users must buy
awwwsme value products
nice watch quality good
super good
product super responsive nice thankuh filpkart
perfect product apple time delivery flipkart
superb
amazing
good super
really awesomeapple watch oled displaygo awesome watch
best product iphone user
good product charging drains alot got 21k
product excellent price unbelievable thanks flipkart give type offer
good product
nice
ia great product smartwatches
thanks nice job
awesome
fabulous watch
good liked lot
amazingtotally loved
amazing product
good product
love
never imagined buy thanks flipkart worth buying 20k show purpose really helps see notifications receive make calls reply messages without reaching phone else want motivates regular exercise
good
battery life expected good 1 day need charge use next full day expected performance smart watch
feel good
amazing
good product
thanks flipkart
great watch
best price far
value money
awesome
thank much delivering way sooner really awesome
excellent experience purchasing flipkartfirstly amazing discount sale made deal cheaper got usasecondly flipkart packing done well course apples acclaimed box packloving watch multitude features
best class
excellent product grate delivery flipkart
good super
perfecti use many smart watchesbut best smart watch usedonly negative thing u cant use iphoneu mast ecosystem apple
fabulous tracker fitness stylish stunning look worth wear
one word awesome
nice
nice
awesome watch apple apple comparisionapple watch
great product become apple fan
satisfied watch really watch fantastic
nice product
super
nice performance good quality product design
super fantastic watch ever used expect battery everything working greati use one day single charging big deal
best price time delivery
best moneyhappy buy flipkart
thx apple
received product estimated time great service flipkart product genuine checked apple site small issue packaging mark
good
osm 17999
amazing product lightning fast delivery irony apple purchase every time brings smile owners face thats apple inc stands apart others
superb quality superb watch
received new apple watch 3rd gen working expected regarding apple watch everybody knows didnt know two varietiesone esim another without call watch need watch esim variety could call without iphone anyway regrets bought mainly health apps however seller mention variety selling
thanks flipkart beyond incredible
excellent
awesome looks classy n sleek
worthy bought 18k one best product segment
best smartwatch awsome
good
genuine product
watch good bought 42 mm still look small wrist
really nice smart watch
awesome
watch working properly
awesome watchdelivery time
good
gets discharge fast battery stay day long
superb watch delivery perfect
great buy though battery life could better
screen bit small everything perfect think 42mm good boys
good worth buy
watch good one thing like connectivity iphone awesome
excellent product
apple watch need introductioni really impressed smooth operation kind functionality provides must buy watch worth money according price point especially festive seasons justifies value money series 4 5
good packaging fast delivery awsm products rate
wow
nice product
want say wow
100 genuine value moneyexcellent productcheers
words apple products received time got perfect pricing 16999 thank flipkart
amazing smart watch probably best world smart watches goes apple glad one daily activity trackings made much easier best display quality package arrived well within 24hrs unbeatable deal 162k sale
white color fades fast
value money
fantastic fabulous outstanding experience
great product
nice watch
superb
superb watch loved
favourite smart watchthanx flipkart amazing deal
combination apple flipkart gonna awesome
aswom
got ordered nice watch
best watch available budget performance good
unable update watch os 6
nice watch
amazing
gud product gud service delivery 3 days
nice watch
awesome
great
amazing product apple never fails amaze us
great product efficientdelivery flipkart
super apple watch nd osm sale flipkart
grt product
think gd
thanks
pls dont buy model poor battery life
best watch ever come acrossed
good product
price range 17k product awesome
good superb using better 3 series smart watch need go 4 5 series
awesome product apple
superb
nice product flipkart delivered time hope might reason big billion day sale
deal 15k superb feature fitness freak downside battery backup merely 15 days full charge
class design material technology loved
value money
finished squad watch awesome given adapter charge
good condition packed
nice watch
bought big billion day salefor three day using thisat first face great difficulty needed ios12 didnt thati wait couple hour download install ios 12 think one major drawbacks apple watchthen took long time set watchtill perfect battery drains fastone full charge give 24 servicethats
value money thank
fantastici got 15k big billion
excellent product
awesome features addictive
thank flipkart seller loved watch
nice watchhowever sure mm size u order
good product
best series buy
excellent watch beginnersgo
excellent
good
worth mentioning cousin loved surprise awesome thanks flipkart
awesome
good
amazing watch time delivery flipkart
product excellent delivery experience pathetic worst delivery experience ever flipkart use ecart shipping rather express beas guys cancel order order dispatched express beas courier service
good
nicei got 19999rs
fabulous
good
best smart watch world
amazing word must buy fitness enthusiaststhere many smart watches one poles apart competitionapple best
osmm
good deal fast delivery
thanks flipkart
amazing deal superb product nice watchthanks flipkart
awesome product dude delivery late
apple apple nothing else match say apple another word quality
right product right delivered time
good productdoes job pretty wellcan fastergood heart rate monitoring keeps reminding workout
got best product good quality best price
gud
amazing product
thank flipkart giving best product
worthy product series 3 good enough features
jst asme
good product happy battery backup
great work
good product
best watch got 18000
using week reviewing itfirstly pros display bright colourful battery instant notifications allows u get rid checking ur mobile everytime even making short calls also u use without problem sound vibrations good keeps u active helps monitor urselfthe biggest cons glass screenits written scratchproof gets scratched ur wear ur daily routine strap makes ur wrist itiread
best smart watchthanks flipkart amazing deal
good
awesome
ultimate
excellentbetter thought
great product apple fans understand
must buy watch
thnkyou flipkart
bought watch big billion day 2018 bought 19000
design software excellent
awesome buy big billion day sale thank flipkart apple watch series 3 still good buy much difference series 3 series 5
original product valid purchase date apples website
amazing
worth price
perfect product size somewhat small nice loved watch got deliverd 2 days date 5 star product service thanku flipkart fullfil dream apple watch
excellent watch good price
must buy
good
genuine product
nice product u r using iphone got for16999 bbd thanks flipkart
awesome
great watch amazing features works like phone get connected via bluetooth u get notifications like msg insta call etc dont need use phone time needed reply proceed phone call battery lasts easily around 2 days great purchase thank flipkart
great unfortunately mistake ordered 38mm instead 42 rest good
orignal product andd best price
good product
big thanks flipkart given best price ever thinking buy watch last monthswatch excellent working fine phone packing delivery time also good
display good connectivity goodlow range mobile low sound calling
fabulous watch awesome qualityfull paisa vasul
amazing satisfaction
excellent product fast delivery
one full day use quite good watch
awesome
must iphone ownersi got 15k big billionthnx flipkart
wonderful product n good service flipkart
super
amazing product
great deal
good strongly recommend apple users assure love gadget bought 15300 rupees 42 mm thanks flipkart awesome delivery
nice watch nice apple
good product affordable price
great watch go
excellent product excellent quality
nothing add apple product clubbed super customer services extended flipkart making joyful experience using technology pleasurekeep well serving people
happy
actually smart watch best facilities1 fitness band features includes calorie burnsteps many more2 incoming outgoing calls attend3 multiple wallpaper background add wallpaper also4sleep trackingtourch lightmusic accessgps accessible heart rate visible time watchthinks improve1 possible calorie burn show foods consume day muchread
nice product got best price love apple early delivery given time
awesome smart watch appleonly compatible apple mobile
good original product
bang bucks bought 153k nice
terrific one
hands best watch
best quality fine product thanks flipkart offering us great deal
pretty good
love watch brilliant
good
love
got 145k awesomelove
good
smart watch market compete apple watchesapple best always bestdisplay features awesomebattery backup watch 2 days single full charge power saver mode activates battery 10 gives backup around 810 hours power saver mode battery back varies 38mm 42 mm approx 45 hours matters alotso advice go 42mm variantapple watch works iphone work ipread
premium quality
awesome
flipkart made happy productsuperb watchjust recommend any1 wants buy go buddyonly sad part deliver agent good servicerest love flipkart
product awesome got unbelievable price 15300 thanks flipkart
awesome
nice watch
awesome
without second thought go itits worth penny
love apple watch
apple usual best useful track amd work health
awesome 38mm
nice apple watch
great watch fast delivery flipkart
must
good product
need buy series 4 5 things
v good watch useful watch
nice watchmust buy
one fastest delivery busiest time thanks flipkart apple watch beautiful watch great price thanks flipkart
excellent watch
great product using 7 daysas well flipcart delivery super fast
awesome
nice
received september 2019 imported product issue product
good producti really happy
excellent buy
good value money wished least 16 gb 8gb enough dont listen music watch great deal
awesome watch
good
